season,club_query,reason,matched_name,score,threshold,is_actually_correct
24/25,West Brom,below_threshold,West Ham,70.58823529,90,0
24/25,Red Star,below_threshold,KR,60,90,0
24/25,Saint-Étienne,below_threshold,St-Étienne,86.95652174,90,1
24/25,Lecce,below_threshold,Leicester,72,90,0
24/25,Derby,below_threshold,Derry,80,90,0
24/25,Real Valladolid,below_threshold,Real Betis,85.5,90,0
24/25,Levante,below_threshold,Larne,66.66666667,90,0
24/25,Palmeiras,below_threshold,Valmiera,70.58823529,90,0
24/25,Millwall,below_threshold,Milan,67.5,90,0
24/25,Parma,below_threshold,Partizan,67.5,90,0
24/25,Valenciennes FC,below_threshold,Valencia,84,90,0
24/25,Lanús,below_threshold,Laç,72,90,0
24/25,Slavia Prague,below_threshold,Slavia Praha,80,90,0
24/25,D.C. United,below_threshold,Dundee United,67.05882353,90,0
24/25,Miami,below_threshold,Milsami,83.33333333,90,0
24/25,Luton,below_threshold,Brighton,67.5,90,0
24/25,Grêmio,below_threshold,Groningen,60,90,0
24/25,Sunderland,below_threshold,Milan,60,90,0
24/25,Crystal Palace,below_threshold,Bala,67.5,90,0
24/25,Atlético Madrid,below_threshold,Atleti,75,90,1
24/25,Leeds,below_threshold,Lens,66.66666667,90,0
24/25,Blackburn,below_threshold,Bala,77.14285714,90,0
24/25,CA Talleres,below_threshold,Brest,67.5,90,0
24/25,Bayern Munich,below_threshold,Bayern München,81.48148148,90,1
24/25,Bournemouth,below_threshold,Burnley,69.23076923,90,0
24/25,Sheff Utd,below_threshold,Sheriff,62.5,90,0
24/25,Vit. Guimarães,below_threshold,Brest,60,90,0
24/25,Hull City,below_threshold,Tuzla City,73.68421053,90,0
24/25,Troyes,below_threshold,Tromsø,66.66666667,90,0
24/25,Corinthians,below_threshold,Cork,77.14285714,90,0
24/25,Brentford,below_threshold,Brest,72,90,0
24/25,Nottm Forest,below_threshold,Brest,80,90,0
24/25,FC St. Pauli,below_threshold,FCI,72,90,0
24/25,Nordsjaelland,below_threshold,Nordsjælland,88,90,1
23/24,Middlesbrough,below_threshold,Odd,60,90,0
23/24,Adelaide United,below_threshold,Paide,72,90,0
23/24,Blackburn,below_threshold,Bala,77.14285714,90,0
23/24,Sint-Truiden,below_threshold,Sion,77.14285714,90,0
23/24,Red Star,below_threshold,KR,60,90,0
23/24,Boca Juniors,below_threshold,Borac,67.5,90,0
23/24,Reading,below_threshold,Racing Union,69.23076923,90,0
23/24,Genoa,below_threshold,Renova,72.72727273,90,0
23/24,FCV Farul,below_threshold,Farul Constanța,85.5,90,0
23/24,Nottm Forest,below_threshold,Folgore,62.18181818,90,0
23/24,Bayern Munich,below_threshold,Bayern München,81.48148148,90,1
23/24,Bologna,below_threshold,Barcelona,62.5,90,0
23/24,Norwich,below_threshold,Zürich,61.53846154,90,0
23/24,A. Klagenfurt,below_threshold,Frankfurt,54.54545455,90,0
23/24,Girona,below_threshold,Gżira,72.72727273,90,0
23/24,Corinthians,below_threshold,Cork,77.14285714,90,0
23/24,Libertad,below_threshold,Zeta,67.5,90,0
23/24,Swansea,below_threshold,Santa Clara,60,90,0
23/24,Udinese Calcio,below_threshold,U Craiova,60.35294118,90,0
23/24,New England,below_threshold,Milan,60,90,0
23/24,Stade Rennais,below_threshold,Rennes,68.4,90,0
23/24,VfB Stuttgart,below_threshold,Hearts,60,90,0
23/24,Leeds,below_threshold,Lens,66.66666667,90,0
23/24,Troyes,below_threshold,Tromsø,66.66666667,90,0
23/24,Stoke City,below_threshold,Man City,63.33333333,90,0
23/24,Bristol City,below_threshold,Man City,85.5,90,0
23/24,Sheff Utd,below_threshold,Sheriff,62.5,90,0
23/24,Rosario Central,below_threshold,Roma,67.5,90,0
23/24,Flamengo,below_threshold,Fola,77.14285714,90,0
23/24,Birmingham,below_threshold,Viking,60,90,0
23/24,Barnsley FC,below_threshold,FCI,72,90,0
23/24,FC Empoli,below_threshold,FC Santa Coloma,85.5,90,0
23/24,West Brom,below_threshold,West Ham,70.58823529,90,0
23/24,Bor. M'gladbach,below_threshold,Borac,67.5,90,0
23/24,Atlético Madrid,below_threshold,Atleti,75,90,1
23/24,Watford,below_threshold,Arda,60,90,0
23/24,FC Metz,below_threshold,FC Santa Coloma,85.5,90,0
23/24,Odense BK,below_threshold,Odd,72,90,0
22/23,Newcastle,below_threshold,Atleti,60,90,0
22/23,Atlético Madrid,below_threshold,Atleti,75,90,1
22/23,Stade Rennais,below_threshold,Rennes,68.4,90,1
22/23,Flamengo,below_threshold,Fola,77.14285714,90,0
22/23,Bristol City,below_threshold,Man City,85.5,90,0
22/23,Luton,below_threshold,Southampton,67.5,90,0
22/23,Spezia Calcio,below_threshold,Sion,60,90,0
22/23,Chicago,below_threshold,Chornomorets Odesa,54,90,0
22/23,Vélez Sarsfield,below_threshold,Linfield,69.23076923,90,0
22/23,Aston Villa,below_threshold,Astra,67.5,90,0
22/23,Brighton,below_threshold,Lyon,60,90,0
22/23,FC Lorient,below_threshold,FC Santa Coloma,85.5,90,0
22/23,Palmeiras,below_threshold,Valmiera,70.58823529,90,0
22/23,Racing Club,below_threshold,Racing Union,67.05882353,90,0
22/23,Dinamo Zagreb,below_threshold,GNK Dinamo,71.25,90,1
22/23,Vasco da Gama,below_threshold,Vasas,67.5,90,0
22/23,Central Coast,below_threshold,Gent,67.5,90,0
22/23,Rosario Central,below_threshold,Roma,67.5,90,0
22/23,Blackpool,below_threshold,Bala,77.14285714,90,0
22/23,Watford,below_threshold,Arda,60,90,0
22/23,Middlesbrough,below_threshold,Odd,60,90,0
22/23,Bayern Munich,below_threshold,Bayern München,81.48148148,90,1
22/23,Huddersfield,below_threshold,Linfield,69.23076923,90,0
22/23,LD Alajuelense,below_threshold,AaB,60,90,0
22/23,Lens,below_threshold,AEK Athens,77.14285714,90,0
22/23,Bologna,below_threshold,Barcelona,62.5,90,0
22/23,Leeds,below_threshold,Leverkusen,60,90,0
22/23,Troyes,below_threshold,Tromsø,66.66666667,90,0
22/23,New England,below_threshold,Milan,60,90,0
22/23,VfL Bochum,below_threshold,Borac,64.125,90,0
22/23,Fulham,below_threshold,Flamurtari,72,90,0
22/23,Nordsjaelland,below_threshold,Nordsjælland,88,90,1
22/23,Libertad,below_threshold,Zeta,67.5,90,0
22/23,São Paulo,below_threshold,Sassuolo,58.82352941,90,0
21/22,Brighton,below_threshold,Lyon,60,90,0
21/22,Colorado,below_threshold,FC Santa Coloma,64.28571429,90,0
21/22,River Plate,below_threshold,Ried,67.5,90,0
21/22,Derby,below_threshold,Derry,80,90,0
21/22,Union SG,below_threshold,Union Berlin,85.5,90,0
21/22,Atlético Madrid,below_threshold,Atleti,75,90,1
21/22,Pogon Szczecin,below_threshold,Pogoń,80,90,0
21/22,CSKA Moscow,below_threshold,CSKA Moskva,72.72727273,90,1
21/22,Bologna,below_threshold,Barcelona,62.5,90,0
21/22,Slavia Prague,below_threshold,Slavia Praha,80,90,1
21/22,Watford,below_threshold,Arda,60,90,0
21/22,FC Metz,below_threshold,FC Santa Coloma,85.5,90,0
21/22,Sheff Utd,below_threshold,Sheriff,62.5,90,0
21/22,Blackburn,below_threshold,Bala,77.14285714,90,0
21/22,FC Lorient,below_threshold,FC Santa Coloma,85.5,90,0
21/22,Kawasaki Front.,below_threshold,KR,60,90,0
21/22,Aston Villa,below_threshold,Astra,67.5,90,0
21/22,Angers SCO,below_threshold,Anji,60,90,0
21/22,Reading,below_threshold,Racing Union,69.23076923,90,0
21/22,Stade Brestois,below_threshold,Beroe,64.125,90,0
21/22,Werder Bremen,below_threshold,Beroe,64.125,90,0
21/22,Norwich,below_threshold,Zürich,61.53846154,90,0
21/22,Stoke City,below_threshold,Man City,63.33333333,90,0
20/21,Preston,below_threshold,Porto,66.66666667,90,0
20/21,Independiente,below_threshold,Twente,72,90,0
20/21,Brentford,below_threshold,Gent,67.5,90,0
20/21,Silkeborg IF,below_threshold,Sileks,72,90,0
20/21,Atlético Madrid,below_threshold,Atleti,75,90,1
20/21,Norwich,below_threshold,Zürich,61.53846154,90,0
20/21,Peñarol,below_threshold,Petrolul,66.66666667,90,0
20/21,Slavia Prague,below_threshold,Slavia Praha,80,90,1
20/21,Saint-Étienne,below_threshold,St-Étienne,86.95652174,90,1
20/21,Lausanne-Sport,below_threshold,Laç,72,90,0
20/21,Dijon,below_threshold,Dinamo-Minsk,67.5,90,0
20/21,Bayern Munich,below_threshold,Bayern München,81.48148148,90,1
20/21,NAC Breda,below_threshold,Beroe,64.125,90,0
20/21,West Brom,below_threshold,West Ham,70.58823529,90,0
20/21,Watford,below_threshold,Titograd,53.33333333,90,0
20/21,Bournemouth,below_threshold,Burnley,69.23076923,90,0
20/21,Derby,below_threshold,Derry,80,90,0
20/21,Nottm Forest,below_threshold,Horsens,60,90,0
20/21,QPR,below_threshold,KR,60,90,0
20/21,Real Valladolid,below_threshold,Real Betis,85.5,90,0
20/21,KV Mechelen,below_threshold,Chelsea,60,90,0
20/21,Flamengo,below_threshold,Fola,77.14285714,90,0
20/21,Coritiba FC,below_threshold,Cork,77.14285714,90,0
