player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,name,date_of_birth,country_of_citizenship,position,height_in_cm,contract_expiration_date,highest_market_value_in_eur,age_at_transfer,is_owner_mogul,from_club_uefa_coeff,plays_left_foot,plays_right_foot
245625,2/3/2025,24/25,984,677,West Brom,Ipswich,2400000,1200000.0,Alex Palmer,8/10/1996 0:00,England,Goalkeeper,191.0,6/30/2028 0:00,1200000,28,0,,0,1
862297,2/3/2025,24/25,159,543,Red Star,Wolves,12000000,7000000.0,Nasser Djiga,11/15/2002 0:00,Burkina Faso,Defender,192.0,6/30/2030 0:00,7000000,22,0,,0,1
466805,2/3/2025,24/25,720,281,FC Porto,Man City,60000000,18000000.0,Nico González,1/3/2002 0:00,Spain,Midfield,188.0,6/30/2029 0:00,25000000,23,1,154.75,0,1
1010854,2/3/2025,24/25,618,631,Saint-Étienne,Chelsea,15000000,5000000.0,Mathis Amougou,1/18/2006 0:00,France,Midfield,177.0,6/30/2033 0:00,6000000,19,1,26.468,0,1
414908,2/3/2025,24/25,1421,543,Stade Reims,Wolves,18000000,10000000.0,Marshall Munetsi,6/22/1996 0:00,Zimbabwe,Midfield,188.0,6/30/2028 0:00,12000000,28,0,26.468,0,1
926952,2/2/2025,24/25,1005,985,Lecce,Man Utd,30000000,20000000.0,Patrick Dorgu,10/26/2004 0:00,Denmark,Defender,185.0,6/30/2030 0:00,20000000,20,1,,1,0
1078163,2/1/2025,24/25,9249,985,Arsenal U21,Man Utd,1800000,300000.0,Ayden Heaven,9/22/2006 0:00,England,Defender,189.0,6/30/2029 0:00,300000,18,1,189.0,1,0
581330,1/31/2025,24/25,22,1237,Derby,Brighton,10750000,1800000.0,Eiran Cashin,11/9/2001 0:00,Ireland,Defender,184.0,6/30/2030 0:00,1800000,23,0,,1,0
1121298,1/27/2025,24/25,366,281,Real Valladolid,Man City,6000000,1000000.0,Juma Bah,4/11/2006 0:00,Sierra Leone,Defender,195.0,6/30/2025 0:00,1000000,18,1,,0,1
445939,1/23/2025,24/25,24,281,E. Frankfurt,Man City,75000000,60000000.0,Omar Marmoush,2/7/1999 0:00,Egypt,Attack,183.0,6/30/2029 0:00,60000000,25,1,107.0,0,1
1063329,1/21/2025,24/25,3368,405,Levante,Aston Villa,7000000,1200000.0,Andrés García,2/7/2003 0:00,Spain,Defender,185.0,,1200000,21,1,,0,1
1005575,1/21/2025,24/25,1023,281,Palmeiras,Man City,37000000,14000000.0,Vitor Reis,1/12/2006 0:00,Brazil,Defender,186.0,6/30/2029 0:00,14000000,19,1,,0,1
763079,1/20/2025,24/25,826,281,Lens,Man City,40000000,12000000.0,Abdukodir Khusanov,2/29/2004 0:00,Uzbekistan,Defender,186.0,6/30/2029 0:00,12000000,20,1,26.468,0,1
967319,1/18/2025,24/25,1028,873,Millwall,Crystal Palace,14200000,5000000.0,Romain Esse,5/13/2005 0:00,England,Midfield,178.0,6/30/2030 0:00,5000000,19,0,,1,0
665390,1/15/2025,24/25,405,677,Aston Villa,Ipswich,23700000,15000000.0,Jaden Philogene,2/8/2002 0:00,England,Attack,181.0,6/30/2029 0:00,15000000,22,0,47.25,0,1
592975,1/15/2025,24/25,130,1003,Parma,Leicester,3000000,2000000.0,Woyo Coulibaly,5/26/1999 0:00,France,Defender,182.0,6/30/2029 0:00,2000000,25,0,,1,1
326029,1/14/2025,24/25,16,405,Bor. Dortmund,Aston Villa,25000000,28000000.0,Donyell Malen,1/19/1999 0:00,Netherlands,Attack,176.0,,40000000,25,1,191.75,0,1
